record_type,mode,n_ops,repeat,threads,k_value,planned_ops,successful_ops,failed_ops,total_ms,avg_ms_per_success,tps_success,event_rows,log_rows,checkpoint_rows,mean_total_ms,stddev_total_ms,min_total_ms,max_total_ms,iqr_total_ms
RUN,STANDARD,3000,1,1,0,3000,3000,0,6523.418,2.174472700,459.882,0,0,0,,,,,
RUN,HMAC_ONLY,3000,1,1,0,3000,3000,0,18356.041,6.118680367,163.434,3000,0,0,,,,,
RUN,HMAC_CHECKPOINT,3000,1,1,100,3000,3000,0,11101.823,3.700607800,270.226,3000,0,30,,,,,
RUN,HMAC_STRICT,3000,1,1,0,3000,3000,0,20639.627,6.879875767,145.351,0,3000,0,,,,,
RUN,HMAC_ONLY,3000,2,1,0,3000,3000,0,17942.550,5.980850133,167.200,3000,0,0,,,,,
RUN,HMAC_CHECKPOINT,3000,2,1,100,3000,3000,0,10949.760,3.649920033,273.979,3000,0,30,,,,,
RUN,HMAC_STRICT,3000,2,1,0,3000,3000,0,20488.029,6.829342933,146.427,0,3000,0,,,,,
RUN,STANDARD,3000,2,1,0,3000,3000,0,6261.442,2.087147400,479.123,0,0,0,,,,,
RUN,HMAC_CHECKPOINT,3000,3,1,100,3000,3000,0,10954.814,3.651604533,273.852,3000,0,30,,,,,
RUN,HMAC_STRICT,3000,3,1,0,3000,3000,0,20192.661,6.730887067,148.569,0,3000,0,,,,,
RUN,STANDARD,3000,3,1,0,3000,3000,0,6259.853,2.086617567,479.245,0,0,0,,,,,
RUN,HMAC_ONLY,3000,3,1,0,3000,3000,0,18469.675,6.156558333,162.428,3000,0,0,,,,,
RUN,HMAC_STRICT,3000,4,1,0,3000,3000,0,20381.663,6.793887733,147.191,0,3000,0,,,,,
RUN,STANDARD,3000,4,1,0,3000,3000,0,6240.094,2.080031267,480.762,0,0,0,,,,,
RUN,HMAC_ONLY,3000,4,1,0,3000,3000,0,17947.561,5.982520400,167.154,3000,0,0,,,,,
RUN,HMAC_CHECKPOINT,3000,4,1,100,3000,3000,0,10897.541,3.632513533,275.291,3000,0,30,,,,,
RUN,STANDARD,3000,5,1,0,3000,3000,0,6247.200,2.082399867,480.215,0,0,0,,,,,
RUN,HMAC_ONLY,3000,5,1,0,3000,3000,0,20226.371,6.742123500,148.321,3000,0,0,,,,,
