record_type,mode,n_ops,repeat,threads,k_value,planned_ops,successful_ops,failed_ops,total_ms,avg_ms_per_success,tps_success,event_rows,log_rows,checkpoint_rows,mean_total_ms,stddev_total_ms,min_total_ms,max_total_ms,iqr_total_ms
RUN,STANDARD,1000,1,1,0,1000,1000,0,1993.509,1.993508500,501.628,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,1,1,0,1000,1000,0,3219.256,3.219256300,310.631,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,2,1,0,1000,1000,0,3269.847,3.269847200,305.825,0,0,0,,,,,
RUN,STANDARD,1000,2,1,0,1000,1000,0,1990.579,1.990578900,502.366,0,0,0,,,,,
RUN,STANDARD,1000,3,1,0,1000,1000,0,2006.104,2.006104300,498.479,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,3,1,0,1000,1000,0,3275.914,3.275914000,305.258,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,4,1,0,1000,1000,0,3240.689,3.240688500,308.576,0,0,0,,,,,
RUN,STANDARD,1000,4,1,0,1000,1000,0,2012.340,2.012339700,496.934,0,0,0,,,,,
RUN,STANDARD,1000,5,1,0,1000,1000,0,2010.185,2.010184500,497.467,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,5,1,0,1000,1000,0,3216.227,3.216226500,310.923,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,6,1,0,1000,1000,0,3204.682,3.204681900,312.043,0,0,0,,,,,
RUN,STANDARD,1000,6,1,0,1000,1000,0,2010.028,2.010028100,497.505,0,0,0,,,,,
RUN,STANDARD,1000,7,1,0,1000,1000,0,2010.232,2.010231700,497.455,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,7,1,0,1000,1000,0,3217.589,3.217588800,310.792,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,8,1,0,1000,1000,0,3205.706,3.205706400,311.944,0,0,0,,,,,
RUN,STANDARD,1000,8,1,0,1000,1000,0,2008.156,2.008155700,497.969,0,0,0,,,,,
RUN,STANDARD,1000,9,1,0,1000,1000,0,2003.520,2.003519500,499.122,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,9,1,0,1000,1000,0,3221.541,3.221540600,310.410,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,10,1,0,1000,1000,0,3223.389,3.223388900,310.233,0,0,0,,,,,
RUN,STANDARD,1000,10,1,0,1000,1000,0,2017.910,2.017910100,495.562,0,0,0,,,,,
RUN,STANDARD,1000,11,1,0,1000,1000,0,2006.274,2.006274400,498.436,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,11,1,0,1000,1000,0,3215.518,3.215517600,310.992,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,12,1,0,1000,1000,0,3210.142,3.210142000,311.513,0,0,0,,,,,
RUN,STANDARD,1000,12,1,0,1000,1000,0,1998.332,1.998332400,500.417,0,0,0,,,,,
RUN,STANDARD,1000,13,1,0,1000,1000,0,2002.394,2.002393700,499.402,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,13,1,0,1000,1000,0,3206.290,3.206289600,311.887,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,14,1,0,1000,1000,0,3224.883,3.224882700,310.089,0,0,0,,,,,
RUN,STANDARD,1000,14,1,0,1000,1000,0,2011.656,2.011655800,497.103,0,0,0,,,,,
RUN,STANDARD,1000,15,1,0,1000,1000,0,2009.003,2.009002600,497.759,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,15,1,0,1000,1000,0,3210.589,3.210589200,311.469,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,16,1,0,1000,1000,0,3237.655,3.237654700,308.866,0,0,0,,,,,
RUN,STANDARD,1000,16,1,0,1000,1000,0,2009.139,2.009139200,497.726,0,0,0,,,,,
RUN,STANDARD,1000,17,1,0,1000,1000,0,2012.861,2.012860500,496.805,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,17,1,0,1000,1000,0,3230.877,3.230877400,309.513,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,18,1,0,1000,1000,0,3206.982,3.206981600,311.820,0,0,0,,,,,
RUN,STANDARD,1000,18,1,0,1000,1000,0,2034.715,2.034715300,491.469,0,0,0,,,,,
RUN,STANDARD,1000,19,1,0,1000,1000,0,2006.984,2.006984100,498.260,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,19,1,0,1000,1000,0,3416.481,3.416481400,292.699,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,20,1,0,1000,1000,0,3230.527,3.230527000,309.547,0,0,0,,,,,
RUN,STANDARD,1000,20,1,0,1000,1000,0,2025.018,2.025018000,493.823,0,0,0,,,,,
RUN,STANDARD,1000,21,1,0,1000,1000,0,2011.497,2.011496500,497.142,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,21,1,0,1000,1000,0,3217.310,3.217310300,310.819,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,22,1,0,1000,1000,0,3254.269,3.254268500,307.289,0,0,0,,,,,
RUN,STANDARD,1000,22,1,0,1000,1000,0,2007.364,2.007363800,498.166,0,0,0,,,,,
RUN,STANDARD,1000,23,1,0,1000,1000,0,2006.696,2.006696300,498.332,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,23,1,0,1000,1000,0,3323.827,3.323827000,300.858,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,24,1,0,1000,1000,0,3223.833,3.223832900,310.190,0,0,0,,,,,
RUN,STANDARD,1000,24,1,0,1000,1000,0,2016.984,2.016983700,495.790,0,0,0,,,,,
RUN,STANDARD,1000,25,1,0,1000,1000,0,2016.046,2.016045600,496.021,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,25,1,0,1000,1000,0,3219.436,3.219435600,310.613,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,26,1,0,1000,1000,0,3217.449,3.217448800,310.805,0,0,0,,,,,
RUN,STANDARD,1000,26,1,0,1000,1000,0,2084.458,2.084457800,479.741,0,0,0,,,,,
RUN,STANDARD,1000,27,1,0,1000,1000,0,2014.526,2.014526200,496.395,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,27,1,0,1000,1000,0,3227.732,3.227732400,309.815,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,28,1,0,1000,1000,0,3226.416,3.226415700,309.941,0,0,0,,,,,
RUN,STANDARD,1000,28,1,0,1000,1000,0,2015.003,2.015003000,496.277,0,0,0,,,,,
RUN,STANDARD,1000,29,1,0,1000,1000,0,2008.992,2.008992200,497.762,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,29,1,0,1000,1000,0,3278.959,3.278958700,304.975,0,0,0,,,,,
RUN,HMAC_COMPUTE,1000,30,1,0,1000,1000,0,3255.912,3.255911500,307.134,0,0,0,,,,,
RUN,STANDARD,1000,30,1,0,1000,1000,0,2039.015,2.039014600,490.433,0,0,0,,,,,
SUMMARY,STANDARD,1000,-1,1,0,,,,2010.106,2.010106300,497.486,,,,2013.317,16.662,1990.579,2084.458,8.116
SUMMARY,HMAC_COMPUTE,1000,-1,1,0,,,,3223.611,3.223610900,310.211,,,,3237.664,43.046,3204.682,3416.481,23.433
RUN,STANDARD,5000,1,1,0,5000,5000,0,9975.414,1.995082760,501.232,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,1,1,0,5000,5000,0,16049.868,3.209973600,311.529,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,2,1,0,5000,5000,0,16069.821,3.213964180,311.142,0,0,0,,,,,
RUN,STANDARD,5000,2,1,0,5000,5000,0,10057.769,2.011553760,497.128,0,0,0,,,,,
RUN,STANDARD,5000,3,1,0,5000,5000,0,10054.036,2.010807240,497.313,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,3,1,0,5000,5000,0,16100.351,3.220070100,310.552,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,4,1,0,5000,5000,0,16080.130,3.216025960,310.943,0,0,0,,,,,
RUN,STANDARD,5000,4,1,0,5000,5000,0,10040.771,2.008154240,497.970,0,0,0,,,,,
RUN,STANDARD,5000,5,1,0,5000,5000,0,10142.860,2.028572040,492.958,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,5,1,0,5000,5000,0,16057.983,3.211596600,311.372,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,6,1,0,5000,5000,0,16008.034,3.201606740,312.343,0,0,0,,,,,
RUN,STANDARD,5000,6,1,0,5000,5000,0,10018.674,2.003734860,499.068,0,0,0,,,,,
RUN,STANDARD,5000,7,1,0,5000,5000,0,10162.052,2.032410460,492.027,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,7,1,0,5000,5000,0,16113.597,3.222719320,310.297,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,8,1,0,5000,5000,0,16098.354,3.219670740,310.591,0,0,0,,,,,
RUN,STANDARD,5000,8,1,0,5000,5000,0,10063.202,2.012640340,496.860,0,0,0,,,,,
RUN,STANDARD,5000,9,1,0,5000,5000,0,10070.112,2.014022340,496.519,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,9,1,0,5000,5000,0,16181.991,3.236398280,308.985,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,10,1,0,5000,5000,0,16142.181,3.228436180,309.747,0,0,0,,,,,
RUN,STANDARD,5000,10,1,0,5000,5000,0,10277.764,2.055552740,486.487,0,0,0,,,,,
RUN,STANDARD,5000,11,1,0,5000,5000,0,10007.048,2.001409560,499.648,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,11,1,0,5000,5000,0,16150.714,3.230142880,309.584,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,12,1,0,5000,5000,0,16167.590,3.233518040,309.261,0,0,0,,,,,
RUN,STANDARD,5000,12,1,0,5000,5000,0,10076.150,2.015230020,496.221,0,0,0,,,,,
RUN,STANDARD,5000,13,1,0,5000,5000,0,10129.758,2.025951580,493.595,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,13,1,0,5000,5000,0,16185.517,3.237103400,308.918,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,14,1,0,5000,5000,0,16194.914,3.238982760,308.739,0,0,0,,,,,
RUN,STANDARD,5000,14,1,0,5000,5000,0,10080.977,2.016195440,495.984,0,0,0,,,,,
RUN,STANDARD,5000,15,1,0,5000,5000,0,10122.575,2.024515000,493.945,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,15,1,0,5000,5000,0,16223.719,3.244743880,308.191,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,16,1,0,5000,5000,0,16185.521,3.237104100,308.918,0,0,0,,,,,
RUN,STANDARD,5000,16,1,0,5000,5000,0,10032.410,2.006481980,498.385,0,0,0,,,,,
RUN,STANDARD,5000,17,1,0,5000,5000,0,10059.504,2.011900700,497.042,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,17,1,0,5000,5000,0,16163.294,3.232658700,309.343,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,18,1,0,5000,5000,0,16205.762,3.241152480,308.532,0,0,0,,,,,
RUN,STANDARD,5000,18,1,0,5000,5000,0,10114.079,2.022815840,494.360,0,0,0,,,,,
RUN,STANDARD,5000,19,1,0,5000,5000,0,10153.413,2.030682500,492.445,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,19,1,0,5000,5000,0,16225.283,3.245056600,308.161,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,20,1,0,5000,5000,0,16144.343,3.228868560,309.706,0,0,0,,,,,
RUN,STANDARD,5000,20,1,0,5000,5000,0,10132.005,2.026400960,493.486,0,0,0,,,,,
RUN,STANDARD,5000,21,1,0,5000,5000,0,10125.587,2.025117480,493.799,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,21,1,0,5000,5000,0,16078.270,3.215653940,310.979,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,22,1,0,5000,5000,0,16185.440,3.237088020,308.920,0,0,0,,,,,
RUN,STANDARD,5000,22,1,0,5000,5000,0,10030.901,2.006180240,498.460,0,0,0,,,,,
RUN,STANDARD,5000,23,1,0,5000,5000,0,10044.507,2.008901460,497.784,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,23,1,0,5000,5000,0,16056.873,3.211374620,311.393,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,24,1,0,5000,5000,0,16106.520,3.221303960,310.433,0,0,0,,,,,
RUN,STANDARD,5000,24,1,0,5000,5000,0,10147.473,2.029494600,492.734,0,0,0,,,,,
RUN,STANDARD,5000,25,1,0,5000,5000,0,10061.247,2.012249480,496.956,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,25,1,0,5000,5000,0,16247.859,3.249571860,307.733,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,26,1,0,5000,5000,0,16138.223,3.227644520,309.823,0,0,0,,,,,
RUN,STANDARD,5000,26,1,0,5000,5000,0,10043.160,2.008631920,497.851,0,0,0,,,,,
RUN,STANDARD,5000,27,1,0,5000,5000,0,10036.450,2.007290060,498.184,0,0,0,,,,,
RUN,HMAC_COMPUTE,5000,27,1,0,5000,5000,0,16201.596,3.240319180,308.612,0,0,0,,,,,
