record_type,mode,n_ops,repeat,threads,k_value,planned_ops,successful_ops,failed_ops,total_ms,avg_ms_per_success,tps_success,event_rows,log_rows,checkpoint_rows,mean_total_ms,stddev_total_ms,min_total_ms,max_total_ms,iqr_total_ms
RUN,STANDARD,100000,1,1,0,100000,100000,0,204039.209,2.040392094,490.102,0,0,0,,,,,
RUN,HMAC_ONLY,100000,1,1,0,100000,100000,0,634930.758,6.349307580,157.497,100000,0,0,,,,,
RUN,HMAC_CHECKPOINT,100000,1,1,50,100000,100000,0,380732.749,3.807327493,262.651,100000,0,2000,,,,,
RUN,HMAC_CHECKPOINT,100000,1,1,100,100000,100000,0,370322.232,3.703222323,270.035,100000,0,1000,,,,,
RUN,HMAC_CHECKPOINT,100000,1,1,500,100000,100000,0,370071.443,3.700714425,270.218,100000,0,200,,,,,
RUN,HMAC_ONLY,100000,2,1,0,100000,100000,0,639360.697,6.393606970,156.406,100000,0,0,,,,,
RUN,HMAC_CHECKPOINT,100000,2,1,50,100000,100000,0,379515.708,3.795157080,263.494,100000,0,2000,,,,,
RUN,HMAC_CHECKPOINT,100000,2,1,100,100000,100000,0,376230.394,3.762303935,265.795,100000,0,1000,,,,,
RUN,HMAC_CHECKPOINT,100000,2,1,500,100000,100000,0,375471.127,3.754711267,266.332,100000,0,200,,,,,
RUN,STANDARD,100000,2,1,0,100000,100000,0,221628.555,2.216285545,451.205,0,0,0,,,,,
RUN,HMAC_CHECKPOINT,100000,3,1,50,100000,100000,0,386538.263,3.865382625,258.707,100000,0,2000,,,,,
RUN,HMAC_CHECKPOINT,100000,3,1,100,100000,100000,0,379844.352,3.798443519,263.266,100000,0,1000,,,,,
RUN,HMAC_CHECKPOINT,100000,3,1,500,100000,100000,0,373251.472,3.732514720,267.916,100000,0,200,,,,,
RUN,STANDARD,100000,3,1,0,100000,100000,0,208607.149,2.086071493,479.370,0,0,0,,,,,
RUN,HMAC_ONLY,100000,3,1,0,100000,100000,0,614973.316,6.149733161,162.609,100000,0,0,,,,,
RUN,HMAC_CHECKPOINT,100000,4,1,100,100000,100000,0,367826.040,3.678260403,271.868,100000,0,1000,,,,,
RUN,HMAC_CHECKPOINT,100000,4,1,500,100000,100000,0,363884.025,3.638840250,274.813,100000,0,200,,,,,
RUN,STANDARD,100000,4,1,0,100000,100000,0,210304.853,2.103048533,475.500,0,0,0,,,,,
RUN,HMAC_ONLY,100000,4,1,0,100000,100000,0,635611.315,6.356113152,157.329,100000,0,0,,,,,
RUN,HMAC_CHECKPOINT,100000,4,1,50,100000,100000,0,376766.099,3.767660988,265.417,100000,0,2000,,,,,
RUN,HMAC_CHECKPOINT,100000,5,1,500,100000,100000,0,365543.778,3.655437777,273.565,100000,0,200,,,,,
RUN,STANDARD,100000,5,1,0,100000,100000,0,211589.992,2.115899921,472.612,0,0,0,,,,,
RUN,HMAC_ONLY,100000,5,1,0,100000,100000,0,631937.249,6.319372494,158.244,100000,0,0,,,,,
RUN,HMAC_CHECKPOINT,100000,5,1,50,100000,100000,0,384307.932,3.843079318,260.208,100000,0,2000,,,,,
RUN,HMAC_CHECKPOINT,100000,5,1,100,100000,100000,0,383692.005,3.836920048,260.626,100000,0,1000,,,,,
RUN,STANDARD,100000,6,1,0,100000,100000,0,216159.044,2.161590441,462.622,0,0,0,,,,,
RUN,HMAC_ONLY,100000,6,1,0,100000,100000,0,633434.939,6.334349388,157.869,100000,0,0,,,,,
RUN,HMAC_CHECKPOINT,100000,6,1,50,100000,100000,0,411042.462,4.110424616,243.284,100000,0,2000,,,,,
RUN,HMAC_CHECKPOINT,100000,6,1,100,100000,100000,0,381632.505,3.816325053,262.032,100000,0,1000,,,,,
RUN,HMAC_CHECKPOINT,100000,6,1,500,100000,100000,0,386474.376,3.864743764,258.749,100000,0,200,,,,,
RUN,HMAC_ONLY,100000,7,1,0,100000,100000,0,634587.812,6.345878116,157.583,100000,0,0,,,,,
RUN,HMAC_CHECKPOINT,100000,7,1,50,100000,100000,0,373663.953,3.736639527,267.620,100000,0,2000,,,,,
RUN,HMAC_CHECKPOINT,100000,7,1,100,100000,100000,0,369344.167,3.693441672,270.750,100000,0,1000,,,,,
RUN,HMAC_CHECKPOINT,100000,7,1,500,100000,100000,0,362037.279,3.620372788,276.215,100000,0,200,,,,,
RUN,STANDARD,100000,7,1,0,100000,100000,0,208186.496,2.081864959,480.339,0,0,0,,,,,
RUN,HMAC_CHECKPOINT,100000,8,1,50,100000,100000,0,376016.150,3.760161498,265.946,100000,0,2000,,,,,
RUN,HMAC_CHECKPOINT,100000,8,1,100,100000,100000,0,369871.007,3.698710065,270.365,100000,0,1000,,,,,
RUN,HMAC_CHECKPOINT,100000,8,1,500,100000,100000,0,364934.341,3.649343411,274.022,100000,0,200,,,,,
