record_type,mode,n_ops,repeat,threads,k_value,planned_ops,successful_ops,failed_ops,total_ms,avg_ms_per_success,tps_success,event_rows,log_rows,checkpoint_rows,mean_total_ms,stddev_total_ms,min_total_ms,max_total_ms,iqr_total_ms
RUN,STANDARD,1000,1,1,0,1000,1000,0,2145.855,2.145855200,466.015,0,0,0,,,,,
RUN,STANDARD,1000,2,1,0,1000,1000,0,2126.902,2.126902300,470.167,0,0,0,,,,,
RUN,STANDARD,1000,3,1,0,1000,1000,0,2142.433,2.142433399,466.759,0,0,0,,,,,
RUN,STANDARD,1000,4,1,0,1000,1000,0,2130.591,2.130591499,469.353,0,0,0,,,,,
RUN,STANDARD,1000,5,1,0,1000,1000,0,2132.045,2.132045300,469.033,0,0,0,,,,,
RUN,STANDARD,1000,6,1,0,1000,1000,0,2133.052,2.133051900,468.812,0,0,0,,,,,
RUN,STANDARD,1000,7,1,0,1000,1000,0,2129.943,2.129942699,469.496,0,0,0,,,,,
RUN,STANDARD,1000,8,1,0,1000,1000,0,2146.624,2.146624100,465.848,0,0,0,,,,,
RUN,STANDARD,1000,9,1,0,1000,1000,0,2131.414,2.131413699,469.172,0,0,0,,,,,
RUN,STANDARD,1000,10,1,0,1000,1000,0,2132.707,2.132707100,468.888,0,0,0,,,,,
RUN,STANDARD,1000,11,1,0,1000,1000,0,2122.146,2.122146200,471.221,0,0,0,,,,,
RUN,STANDARD,1000,12,1,0,1000,1000,0,2121.442,2.121441901,471.378,0,0,0,,,,,
RUN,STANDARD,1000,13,1,0,1000,1000,0,2134.164,2.134163901,468.568,0,0,0,,,,,
RUN,STANDARD,1000,14,1,0,1000,1000,0,2124.432,2.124431700,470.714,0,0,0,,,,,
RUN,STANDARD,1000,15,1,0,1000,1000,0,2128.829,2.128829301,469.742,0,0,0,,,,,
RUN,STANDARD,1000,16,1,0,1000,1000,0,2131.931,2.131930600,469.058,0,0,0,,,,,
RUN,STANDARD,1000,17,1,0,1000,1000,0,2101.236,2.101236100,475.910,0,0,0,,,,,
RUN,STANDARD,1000,18,1,0,1000,1000,0,2123.849,2.123848699,470.843,0,0,0,,,,,
RUN,STANDARD,1000,19,1,0,1000,1000,0,2116.652,2.116651900,472.444,0,0,0,,,,,
RUN,STANDARD,1000,20,1,0,1000,1000,0,2125.432,2.125431800,470.493,0,0,0,,,,,
RUN,STANDARD,1000,21,1,0,1000,1000,0,2123.342,2.123341799,470.956,0,0,0,,,,,
RUN,STANDARD,1000,22,1,0,1000,1000,0,2124.125,2.124125101,470.782,0,0,0,,,,,
RUN,STANDARD,1000,23,1,0,1000,1000,0,2128.348,2.128348000,469.848,0,0,0,,,,,
RUN,STANDARD,1000,24,1,0,1000,1000,0,2124.581,2.124580899,470.681,0,0,0,,,,,
RUN,STANDARD,1000,25,1,0,1000,1000,0,2170.290,2.170289700,460.768,0,0,0,,,,,
RUN,STANDARD,1000,26,1,0,1000,1000,0,2150.563,2.150563000,464.995,0,0,0,,,,,
RUN,STANDARD,1000,27,1,0,1000,1000,0,2140.106,2.140106200,467.267,0,0,0,,,,,
RUN,STANDARD,1000,28,1,0,1000,1000,0,2136.981,2.136980800,467.950,0,0,0,,,,,
RUN,STANDARD,1000,29,1,0,1000,1000,0,2116.749,2.116749299,472.423,0,0,0,,,,,
RUN,STANDARD,1000,30,1,0,1000,1000,0,2138.321,2.138320901,467.657,0,0,0,,,,,
SUMMARY,STANDARD,1000,-1,1,0,,,,2130.267,2.130267099,469.425,,,,2131.169,12.428,2101.236,2170.290,12.075
RUN,STANDARD,5000,1,1,0,5000,5000,0,10614.381,2.122876180,471.059,0,0,0,,,,,
RUN,STANDARD,5000,2,1,0,5000,5000,0,10638.927,2.127785440,469.972,0,0,0,,,,,
RUN,STANDARD,5000,3,1,0,5000,5000,0,10664.697,2.132939440,468.837,0,0,0,,,,,
RUN,STANDARD,5000,4,1,0,5000,5000,0,10687.517,2.137503480,467.835,0,0,0,,,,,
RUN,STANDARD,5000,5,1,0,5000,5000,0,10790.540,2.158108040,463.369,0,0,0,,,,,
RUN,STANDARD,5000,6,1,0,5000,5000,0,10687.772,2.137554380,467.824,0,0,0,,,,,
RUN,STANDARD,5000,7,1,0,5000,5000,0,10704.060,2.140811940,467.112,0,0,0,,,,,
RUN,STANDARD,5000,8,1,0,5000,5000,0,10777.934,2.155586820,463.911,0,0,0,,,,,
RUN,STANDARD,5000,9,1,0,5000,5000,0,10747.033,2.149406660,465.245,0,0,0,,,,,
RUN,STANDARD,5000,10,1,0,5000,5000,0,10695.490,2.139097920,467.487,0,0,0,,,,,
RUN,STANDARD,5000,11,1,0,5000,5000,0,10768.695,2.153738960,464.309,0,0,0,,,,,
RUN,STANDARD,5000,12,1,0,5000,5000,0,10746.759,2.149351720,465.257,0,0,0,,,,,
RUN,STANDARD,5000,13,1,0,5000,5000,0,10845.167,2.169033420,461.035,0,0,0,,,,,
RUN,STANDARD,5000,14,1,0,5000,5000,0,10758.727,2.151745340,464.739,0,0,0,,,,,
RUN,STANDARD,5000,15,1,0,5000,5000,0,10702.899,2.140579840,467.163,0,0,0,,,,,
RUN,STANDARD,5000,16,1,0,5000,5000,0,10645.775,2.129155080,469.670,0,0,0,,,,,
RUN,STANDARD,5000,17,1,0,5000,5000,0,10712.752,2.142550300,466.733,0,0,0,,,,,
RUN,STANDARD,5000,18,1,0,5000,5000,0,10757.248,2.151449660,464.803,0,0,0,,,,,
RUN,STANDARD,5000,19,1,0,5000,5000,0,10705.839,2.141167840,467.035,0,0,0,,,,,
RUN,STANDARD,5000,20,1,0,5000,5000,0,10657.271,2.131454180,469.163,0,0,0,,,,,
